t,BO,HT,LB
5/21/2019 9:40,,,4863.880119
5/21/2019 10:30,,20224.12391,
5/21/2019 11:30,28031.45074,,
5/28/2019 9:15,,,4278.751894
5/28/2019 10:00,,1842.115233,
5/28/2019 10:25,3346.975856,,
5/30/2019 9:30,,,184113.0315
5/30/2019 10:15,,82850.37487,
5/30/2019 10:55,112878.4219,,
6/3/2019 8:40,,,1291300.229
6/3/2019 9:35,,2755466.874,
6/3/2019 10:15,1266500.068,,
6/4/2019 9:20,,,1680258.214
6/4/2019 10:00,,4183602.383,
6/4/2019 10:40,70449.00934,,
6/5/2019 10:50,,,2599107.682
6/5/2019 11:30,,2004661.589,
6/5/2019 11:50,4849466.033,,
6/6/2019 9:30,,,1905801.816
6/6/2019 10:10,,2165902.534,
6/6/2019 10:30,3358123.694,,
6/7/2019 9:10,,,3675137.79
6/7/2019 9:50,,2188217.813,
6/7/2019 10:10,4872242.436,,
6/10/2019 9:55,,,777763.3378
6/10/2019 10:45,,4779521.049,
6/10/2019 11:35,12576578.86,,
6/11/2019 9:35,,,6613714.837
6/11/2019 10:30,,11717143.45,
6/11/2019 10:55,12253436.48,,
6/12/2019 10:00,,,6361926.116
6/12/2019 11:05,,84516381.21,
6/12/2019 11:50,42187492.67,,
6/13/2019 9:30,,,2385778.206
6/13/2019 10:15,,18836843.8,
6/13/2019 10:45,7825255.753,,
6/14/2019 9:15,,,11914566.95
6/14/2019 10:10,,17664314.65,
6/14/2019 10:30,1383994.971,,
6/17/2019 10:40,,,7386422.456
6/17/2019 11:20,,24089542.57,
6/17/2019 11:50,4331045.477,,
6/18/2019 9:50,,,11633946.83
6/18/2019 10:30,,7317026.539,
6/18/2019 11:10,614608.1024,,
6/19/2019 9:20,,,13669680.82
6/19/2019 10:05,,17261932.71,
6/19/2019 10:30,7057834.921,,
6/20/2019 9:40,,,8972648.339
6/20/2019 10:20,,11152179.39,
6/20/2019 10:45,2695827.558,,
6/21/2019 10:10,,,8561522.168
6/21/2019 10:58,,2033157.226,
6/21/2019 11:15,3147597.506,,
6/24/2019 9:55,,,8380605.078
6/24/2019 10:40,,17084213.47,
6/24/2019 11:10,1491813.336,,
6/25/2019 9:35,,,4526615.638
6/25/2019 11:20,,3537437.035,
6/25/2019 11:55,2317435.018,,
6/26/2019 9:10,,,8168365.764
6/26/2019 9:40,,1777912.538,
6/26/2019 10:10,877843.6046,,
7/2/2019 9:40,,,3759977.997
7/2/2019 10:00,,988189.4839,
7/2/2019 10:25,90809.39846,,
7/3/2019 9:00,,,2579399.913
7/3/2019 9:35,,5906943.92,
7/3/2019 10:00,409284.8097,,
7/5/2019 9:35,,,2487617.786
7/5/2019 10:20,,2134575.68,
7/5/2019 10:55,904535.1416,,
7/8/2019 9:45,,,3174614.957
7/8/2019 10:25,,5813525.474,
7/8/2019 10:50,210011.7252,,
7/9/2019 9:35,,,1797847.589
7/9/2019 10:10,,3801918.688,
7/9/2019 10:30,1022556.19,,
7/10/2019 9:20,840843.2756,,
7/10/2019 10:05,,,6692089.343
7/10/2019 11:00,,703805.2608,
7/11/2019 10:35,,2004161.013,
7/11/2019 11:00,629058.9743,,
7/11/2019 11:45,,,5451316.582
7/12/2019 9:10,,,3926091.271
7/12/2019 9:50,,2609235.035,
7/12/2019 10:20,11516.34281,,
7/16/2019 10:00,,,1994153.171
7/16/2019 10:40,,3039230.234,
7/16/2019 11:10,1806629.418,,
7/18/2019 9:45,,,3185632.537
7/18/2019 10:25,,3661940.572,
7/18/2019 10:50,539530.3577,,
7/23/2019 10:00,,,869405.268
7/23/2019 10:45,,3061007.451,
7/23/2019 11:10,1963487.606,,
7/25/2019 9:55,,,3236218.602
7/25/2019 10:45,,5185926.576,
7/25/2019 11:15,26759.81789,,
7/30/2019 10:15,,,249517.5389
7/30/2019 10:50,,164802.5887,
7/30/2019 11:11,23962.66554,,
8/1/2019 9:35,,,158471.6693
8/1/2019 10:20,,645983.2246,
8/1/2019 11:00,24079.98908,,
8/6/2019 10:05,,,748113.9676
8/6/2019 10:40,,304322.9449,
8/6/2019 11:05,121281.2999,,
8/8/2019 9:20,,,152854.5704
8/8/2019 10:00,,74799.88571,
8/8/2019 10:25,1662389.537,,
8/13/2019 9:50,,,146221.2999
8/13/2019 10:50,,65067.34468,
8/13/2019 11:20,101805.0249,,
8/15/2019 9:10,,,604858.6913
8/15/2019 9:45,,386262.6979,
8/15/2019 10:10,100775.1636,,
8/20/2019 10:20,,,906775.8983
8/20/2019 10:55,,3404905.45,
8/20/2019 11:20,128782.0496,,
8/22/2019 9:35,,,33663.07633
8/22/2019 10:00,,551246.706,
8/22/2019 10:20,2664310.082,,
8/27/2019 9:50,,,38383.64828
8/27/2019 10:25,,497133.8694,
8/27/2019 10:50,23151.89673,,
8/29/2019 8:45,,,357268.4796
8/29/2019 9:05,,140488.9975,
8/29/2019 9:25,3903.148207,,
9/3/2019 10:45,,,284303.6518
9/3/2019 11:20,,54328.90724,
9/3/2019 11:45,8849.942441,,
9/10/2019 11:05,,,25366.77636
9/10/2019 11:35,,3003962.208,
9/24/2019 9:45,,,13563.49607
9/24/2019 10:20,,823032.6324,
9/24/2019 10:35,10578105.93,,
10/1/2019 10:10,,,3829.747735
10/1/2019 12:10,,2383600.962,
10/1/2019 12:40,10302968.15,,
10/15/2019 9:55,,,130389.3114
10/15/2019 10:25,,114673.0159,
10/15/2019 10:45,7563.734159,,
10/30/2019 11:15,,,191595.4688
10/30/2019 11:35,,75932.46352,
10/30/2019 12:00,110441.0312,,
