,Time,Site,Cylindrospermopsin,Microcystin,Depth,LCMSMS_Cylindrospermopsin,LCMSMS_Microcystin
935,2018-08-14 10:00:00,BCR,0.065,0.145,0.0,,
936,2018-08-14 10:45:00,LB,0.069,0.092,0.0,,
937,2018-08-14 11:00:00,LBS,0.083,0.152,5.0,,
938,2018-08-14 11:10:00,LBP,0.099,0.078,143.0,,
939,2018-08-14 11:30:00,HT,0.058,0.053,0.0,,
940,2018-08-14 12:00:00,BO,0.048,0.063,0.0,,
941,2018-08-14 12:55:00,PK,0.066,0.082,0.0,,
942,2018-08-16 10:00:00,BCR,0.067,0.13,0.0,,
943,2018-08-16 10:45:00,LBS,0.065,0.101,4.0,,
944,2018-08-16 10:50:00,LBP,0.105,0.081,142.0,,
945,2018-08-16 10:55:00,LB,0.065,0.109,0.0,,
946,2018-08-16 11:15:00,HT,0.077,0.078,0.0,,
947,2018-08-16 11:35:00,BO,0.079,0.106,0.0,,
948,2018-08-16 12:25:00,PK,0.083,0.121,0.0,,
949,2018-08-21 09:37:00,BCR,0.061,0.192,0.0,,
950,2018-08-21 10:35:00,LBP,0.058,0.097,1.0,,
951,2018-08-21 10:40:00,LB,0.061,0.127,0.0,,
952,2018-08-21 10:55:00,HT,0.061,0.072,0.0,,
953,2018-08-21 11:20:00,BO,0.059,0.12,0.0,,
954,2018-08-21 12:25:00,PK,0.078,0.073,0.0,,
955,2018-08-29 09:40:00,BCR,0.031,0.048,0.0,,
956,2018-08-29 10:45:00,LB,0.046,0.072,0.0,,
957,2018-08-29 10:55:00,LBP,0.092,0.028,0.0,,
958,2018-08-29 11:05:00,HT,0.041,0.072,0.0,,
959,2018-08-29 11:30:00,BO,0.033,0.028,0.0,,
960,2018-08-29 12:15:00,PK,0.07,0.064,0.0,,
961,2018-09-04 10:40:00,BCR,0.026,0.039,0.0,,
962,2018-09-04 12:05:00,PK,0.089,0.014,0.0,,
963,2018-09-11 10:10:00,BCR,0.097,0.019,0.0,,
964,2018-09-11 11:20:00,LBP,0.094,0.049,0.0,,
965,2018-09-11 11:30:00,LB,0.027,0.062,0.0,,
966,2018-09-11 11:45:00,HT,0.048,0.161,0.0,,
967,2018-09-11 12:05:00,BO,0.048,0.092,0.0,,
968,2018-09-11 12:55:00,PK,0.063,0.062,0.0,,
969,2018-09-19 10:55:00,PK,0.08,0.033,0.0,,
970,2018-09-19 11:40:00,BCR,0.08,0.058,0.0,,
971,2018-09-26 10:30:00,BCR,0.073,0.035,0.0,,
972,2018-09-26 11:20:00,LB,0.058,0.069,0.0,,
