t,14178000,14179000,14180300,14181500,,,,,
4/12/2020,5.5---,5.4---,4.9---,6.5-736-0.8-0.21,,,,,
4/13/2020,5.3---,5.3---,4.7---,6.4-740-0.78-0.21,,,,,
4/14/2020,5.7---,5.6---,5.1---,6.3-740-0.87-0.23,,,,,
4/15/2020,5.9---,6.1---,5.4---,6.3-737-0.79-0.23,,,,,
4/16/2020,6.1---,6.2---,5.4---,6.4-735-0.68-0.22,,,,,
4/17/2020,5.9---,5.9---,5.3---,6.3-730-0.71-0.23,,,,,
4/18/2020,5.8---,5.8---,5.3---,6.3-732-0.88-0.23,,,,,
4/19/2020,6.7---,6.7---,6.1---,6.2-733-0.77-0.23,,,,,
4/20/2020,6.7---,6.9---,6.2---,6.6-734-0.82-0.23,,,,,
4/21/2020,6.9---,6.9---,6.4---,6.6-739-0.78-0.22,,,,,
4/22/2020,6.1---,6.2---,5.9---,6.6-736-0.96-0.22,,,,,
4/23/2020,6.2---,6.3---,6.2---,6.6-739-1.03-0.21,,,,,
4/24/2020,5.9---,6.1---,6.1---,6.8-737-1.07-0.2,,,,,
4/25/2020,6.1---,6.3---,6.1---,6.8-735-1.1-0.21,,,,,
4/26/2020,6.3---,6.4---,6.1---,6.8-734-1.01-0.2,,,,,
4/27/2020,6.7---,6.7---,6.7---,6.8-735-1.01-0.2,,,,,
4/28/2020,7.1---,7---,7.1---,6.9-736-0.96-0.19,,,,,
4/29/2020,7---,6.9---,7---,7.2-732-1.01-0.19,,,,,
4/30/2020,6.8---,6.6---,6.6---,7-735-1.06-0.19,,,,,
5/1/2020,6.1---,6---,5.9---,7-733-1.03-0.19,,,,,
5/2/2020,6.6---,6.5---,6.4---,7-731-1.2-0.2,,,,,
5/3/2020,6---,6.1---,5.7---,6.7-738-1.09-0.19,,,,,
5/4/2020,6.3---,6.2---,6.1---,6.8-736-1.04-0.19,,,,,
5/5/2020,7.7---,7.5---,7.1---,7-734-1.02-0.19,,,,,
5/6/2020,7.2---,7.1---,6.6---,7.1-742-0.95-0.18,,,,,
5/7/2020,6.9---,6.8---,6.4---,7.2-737-0.92-0.17,,,,,
5/8/2020,8---,7.9---,7.4---,7.3-733-0.91-0.18,,,,,
5/9/2020,8.6---,8.4---,8.2---,7.2-730-0.87-0.16,,,,,
5/10/2020,8.9---,8.5---,8.7---,7.4-727-0.87-0.16,,,,,
5/11/2020,8.3---,7.8---,8.1---,7.6-726-0.87-0.17,,,,,
5/12/2020,7.6---,7.2---,7.4---,7.2-726-0.9-0.16,,,,,
5/13/2020,7.5---,7---,7.1---,6.9-730-0.88-0.17,,,,,
5/14/2020,7.3---,6.9---,6.9---,6.9-733-0.84-0.17,,,,,
5/15/2020,8.1---,7.6---,7.5---,7-735-0.75-0.17,,,,,
5/16/2020,8---,7.4---,7.5---,7.3-727-0.74-0.16,,,,,
5/17/2020,8.2---,7.8---,7.6---,7.1-725-0.76-0.16,,,,,
5/18/2020,7.9---,7.6---,7.4---,7.1-728-0.76-0.15,,,,,
5/19/2020,7.4---,7.1---,7.1---,7-733-0.76-0.16,,,,,
5/20/2020,7.3---,7.1---,7.1---,7.1-735-0.79-0.15,,,,,
5/21/2020,7.1---,6.9---,6.8---,7-734-0.74-0.16,,,,,
5/22/2020,6.6---,6.6---,6.2---,7.1-735-0.71-0.16,,,,,
5/23/2020,7.8---,7.6---,7.1---,7.2-736-0.65-0.15,,,,,
5/24/2020,8.3---,8.2---,7.6---,7.6-736-0.58-0.13,,,,,
5/25/2020,8.3---,8---,7.7---,7.8-735-0.67-0.13,,,,,
5/26/2020,9.3---,9---,8.7---,7.6-734-0.66-0.13,,,,,
5/27/2020,9.9---,9.4---,9.4---,7.8-733-0.63-0.13,,,,,
5/28/2020,10.5---,9.7---,9.9---,8-731-0.64-0.13,,,,,
5/29/2020,11---,10.2---,10.6---,7.9-729-0.64-0.12,,,,,
5/30/2020,10.1---,9.4---,9.6---,7.9-729-0.72-0.13,,,,,
5/31/2020,9.3---,8.7---,8.8---,7.7-734-0.66-0.12,,,,,
6/1/2020,10.1---,9.2---,9.3---,7.7-735-0.64-0.12,,,,,
6/2/2020,9.6---,8.9---,8.9---,9.2-736-1.09-0.18,,,,,
6/3/2020,10.1---,9.4---,9.5---,10.4-735-1.65-0.24,,,,,
6/4/2020,10.5---,9.8---,9.9---,10.9-732-1.67-0.24,,,,,
6/5/2020,9.9---,9.2---,9.5---,11.4-726-1.75-0.22,,,,,
6/6/2020,8.9---,8.5---,8.7---,11-729-1.83-0.21,,,,,
6/7/2020,8.2---,7.9---,7.9---,11.1-734-1.89-0.2,,,,,
6/8/2020,8.2---,8---,7.9---,11.1-738-1.77-0.18,,,,,
6/9/2020,8.5---,8.1---,8.4---,11.1-737-1.96-0.17,,,,,
6/10/2020,10.3---,9.4---,9.8---,11.3-734-1.76-0.16,,,,,
6/11/2020,10.7---,9.7---,10.2---,11.6-733-1.58-0.14,,,,,
6/12/2020,9.9---,9.2---,9.4---,11.5-733-1.68-0.13,,,,,
6/13/2020,8.8---,8.5---,8.7---,11.2-732-1.81-0.14,,,,,
6/14/2020,9---,8.5---,8.5---,11.1-733-1.74-0.14,,,,,
6/15/2020,8.8---,8.3---,8.3---,10.9-732-1.87-0.13,,,,,
6/16/2020,8.4---,7.9---,7.8---,10.7-734-1.42-0.12,,,,,
6/17/2020,8.8---,8.3---,8.1---,10.7-738-1.19-0.11,,,,,
6/18/2020,9.7---,9.1---,8.8---,11.3-735-0.96-0.11,,,,,
6/19/2020,10.8---,10---,9.7---,12.5-731-1.07-0.11,,,,,
6/20/2020,10.7---,9.9---,9.9---,12.6-733-1.25-0.12,,,,,
6/21/2020,11.3---,10.5---,10.4---,11.7-735-1.17-0.12,,,,,
6/22/2020,11.5---,10.7---,10.7---,11-735-0.95-0.1,,,,,
6/23/2020,12.4---,11.4---,11.7---,11.3-731-0.89-0.09,,,,,
6/24/2020,12.2---,11.3---,11.6---,11.3-732-0.92-0.1,,,,,
6/25/2020,12.4---,11.5---,11.9---,11.2-732-0.92-0.09,,,,,
6/26/2020,12.9---,12---,12.4---,11-732-0.91-0.1,,,,,
6/27/2020,12.8---,12---,12.3---,10.6-731-0.77-0.1,,,,,
6/28/2020,10.7---,10.2---,10.4---,10.4-730-0.82-0.1,,,,,
6/29/2020,10.6---,10---,10.6---,10.4-733-0.83-0.11,,,,,
6/30/2020,10.7---,10.4---,10.6---,10.7-733-0.74-0.11,,,,,
7/1/2020,10---,9.7---,10.1---,10.6-733-0.79-0.11,,,,,
7/2/2020,11.2---,10.7---,11---,10.9-732-0.83-0.11,,,,,
7/3/2020,11.4---,10.9---,11.1---,11.5-734-0.87-0.11,,,,,
7/4/2020,11.5---,11.2---,11.3---,11.6-736-0.88-0.11,,,,,
7/5/2020,11.6---,11.2---,11.3---,11.7-735-0.91-0.1,,,,,
7/6/2020,11.8---,11.5---,11.5---,11.7-734-0.96-0.11,,,,,
7/7/2020,11.1---,10.8---,10.9---,11.7-735-0.93-0.11,,,,,
7/8/2020,11.7---,11.4---,11.7---,11.9-734-0.85-0.11,,,,,
7/9/2020,11.4---,11---,11.3---,12.1-733-0.94-0.1,,,,,
7/10/2020,12.1---,11.7---,12.1---,12.1-735-0.95-0.12,,,,,
7/11/2020,12.8---,12.4---,12.6---,12.3-735-1.02-0.12,,,,,
7/12/2020,12.4---,12.2---,12.4---,12.3-735-0.98-0.13,,,,,
7/13/2020,12.1---,12---,12.3---,12.4-733-0.97-0.14,,,,,
7/14/2020,12.4---,12---,12.3---,12.6-734-0.88-0.13,,,,,
7/15/2020,13---,12.5---,13---,12.3-734-0.87-0.14,,,,,
7/16/2020,13.4---,13.1---,13.6---,12.3-732-0.88-0.14,,,,,
7/17/2020,13.5---,13.3---,13.7---,12.3-734-0.88-0.14,,,,,
7/18/2020,13---,12.8---,13.5---,12.5-735-0.96-0.16,,,,,
7/19/2020,13.5---,13.1---,14---,12.6-733-1.08-0.18,,,,,
7/20/2020,14---,13.7---,14.5---,13.7-732-1.32-0.2,,,,,
7/21/2020,14.5---,14.2---,15.2---,13.5-729-1.17-0.19,,,,,
7/22/2020,14.1---,13.9---,14.8---,13.5-729-1.04-0.17,,,,,
7/23/2020,13.7---,13.6---,14.3---,12.8-731-0.93-0.16,,,,,
7/24/2020,13---,13---,13.5---,11.9-733-0.91-0.17,,,,,
7/25/2020,12.8---,12.6---,13.5---,11.4-733-0.85-0.17,,,,,
7/26/2020,13.2---,13---,14---,11.3-731-0.82-0.16,,,,,
7/27/2020,13.5---,13.5---,14.5---,11.4-730-0.79-0.14,,,,,
7/28/2020,14.3---,13.8---,15.5---,11.4-730-0.71-0.11,,,,,
7/29/2020,14.5---,14.1---,15.6---,11.2-730-0.53-0.11,,,,,
7/30/2020,14.7---,14.4---,16.1---,11.3-731-0.52-0.11,,,,,
7/31/2020,14.7---,14.5---,16.1---,11.5-732-0.55-0.12,,,,,
8/1/2020,14.1---,14.1---,15.5---,11.5-734-0.68-0.13,,,,,
8/2/2020,13.8---,13.7---,15.1---,11.7-734-0.74-0.16,,,,,
8/3/2020,13.7---,13.7---,15---,11.5-735-0.83-0.17,,,,,
8/4/2020,13.7---,13.7---,15.1---,11.6-732-0.87-0.18,,,,,
8/5/2020,14.2---,14.1---,15.5---,11.4-731-0.89-0.17,,,,,
8/6/2020,12.9---,13.1---,14.1---,11.4-733-1.27-0.17,,,,,
8/7/2020,12.6---,12.2---,14---,11.4-735-1.16-0.24,,,,,
8/8/2020,12.8---,12.7---,13.9---,11.4-736-1.12-0.25,,,,,
8/9/2020,12.8---,12.6---,14---,11.3-736-1.05-0.21,,,,,
8/10/2020,13.3---,13.1---,14.6---,11.8-732-1.04-0.18,,,,,
8/11/2020,13.2---,13.1---,14.4---,11.5-731-1.02-0.14,,,,,
8/12/2020,11.9---,12.1---,13.1---,11.4-733-0.97-0.12,,,,,
8/13/2020,11.6---,11.6---,12.8---,11.3-735-0.87-0.13,,,,,
8/14/2020,12---,11.8---,13.1---,11.3-734-0.84-0.14,,,,,
8/15/2020,12.9---,12.6---,14.3---,11.5-730-0.82-0.12,,,,,
8/16/2020,13.2---,13.2---,15---,11.5-731-0.84-0.12,,,,,
8/17/2020,13.8---,13.5---,15.8---,11.5-733-0.74-0.1,,,,,
8/18/2020,14.4---,14.2---,16.2---,11.9-734-0.78-0.09,,,,,
8/19/2020,13.9---,13.8---,15.7---,12.4-731-0.84-0.09,,,,,
8/20/2020,13.8---,13.8---,16---,12.6-730-0.84-0.09,,,,,
8/21/2020,13.1---,13.5---,15.7---,12.4-730-0.89-0.1,,,,,
8/22/2020,13.6---,13.4---,15.9---,12.5-733-0.79-0.1,,,,,
8/23/2020,13.4---,13.2---,15.5---,12.5-730-0.86-0.11,,,,,
8/24/2020,13.1---,13---,15.1---,12.6-730-0.82-0.11,,,,,
8/25/2020,13---,12.8---,14.6---,12.4-731-0.75-0.08,,,,,
8/26/2020,12.5---,12.4---,14---,12.1-730-0.69-0.09,,,,,
8/27/2020,12.2---,12.1---,13.7---,11.8-732-0.57-0.09,,,,,
8/28/2020,11.8---,11.7---,13.5---,11.7-732-0.55-0.08,,,,,
8/29/2020,12.1---,11.8---,13.5---,11.5-733-0.52-0.09,,,,,
8/30/2020,11.2---,11---,12.4---,11.4-735-0.53-0.09,,,,,
8/31/2020,11.9---,11.8---,13.4---,11.4-734-0.57-0.08,,,,,
9/1/2020,12.3---,12.1---,13.9---,11.7-734-0.67-0.08,,,,,
9/2/2020,12.7---,12.3---,14.3---,11.6-733-0.6-0.09,,,,,
9/3/2020,12.6---,12.4---,14.5---,11.5-732-0.55-0.08,,,,,
9/4/2020,13.2---,12.8---,15.3---,11.1-732-0.52-0.09,,,,,
9/5/2020,13---,12.8---,15.1---,10.8-736-0.55-0.09,,,,,
9/6/2020,11.4---,11.6---,13.8---,10.8-736-0.59-0.09,,,,,
9/7/2020,11.7---,11.9---,14.1---,10.8-733-0.53-0.08,,,,,
9/8/2020,11.1---,10.8---,13.6---,10.1-732-0.5-0.09,,,,,
9/9/2020,11.1---,10.9---,13---,8.6-730-0.33-0.09,,,,,
9/10/2020,10.7---,11.4---,12.1---,8.2-732-0.35-0.09,,,,,
9/11/2020,10.1---,10.9---,11.2---,8.7-733-0.35-0.08,,,,,
9/12/2020,9.5---,10.3---,10.7---,9.3-732-0.4-0.08,,,,,
9/13/2020,9.6---,10.1---,10.7---,9.3-730-0.54-0.09,,,,,
9/14/2020,10.2---,10.5---,11.3---,9.4-731-0.26-0.08,,,,,
9/15/2020,10.1---,10.5---,11.3---,9.5-734-0.3-0.07,,,,,
9/16/2020,9.9---,10.3---,11.1---,9.6-733-0.29-0.07,,,,,
9/17/2020,10---,10.3---,11.2---,9.7-731-0.32-0.07,,,,,
9/18/2020,10.4---,10.8---,11.8---,9.7-731--,,,,,
9/19/2020,10.4---,11---,12---,9.8-734--,,,,,
9/20/2020,10.6---,11---,12.2---,9.9-733--,,,,,
9/21/2020,10.4---,11---,12.1---,10-731--,,,,,
9/22/2020,11.2---,11.5---,12.9---,10-733--,,,,,
9/23/2020,11---,11.6---,12.7---,10.2-730--,,,,,
9/24/2020,11.1---,11.7---,12.5---,10.1-733--,,,,,
9/25/2020,10---,10.8---,11.6---,9.9-731--,,,,,
9/26/2020,10.3---,10.9---,11.8---,10.1-737--,,,,,
9/27/2020,10.2---,10.8---,11.4---,10.1-740--,,,,,
9/28/2020,10---,10.4---,10.8---,10.3-736--,,,,,
9/29/2020,10.5---,10.7---,11.1---,10.4-733--,,,,,
9/30/2020,10.7---,11---,11.5---,10.4-736--,,,,,
10/1/2020,10.9---,11.3---,11.8---,10.6-735--,,,,,
10/2/2020,10.8---,11.2---,11.7---,10.6-735--,,,,,
10/3/2020,10.4---,10.7---,11.1---,10.7-734--,,,,,
10/4/2020,10.1---,10.4---,10.9---,10.8-735--,,,,,
10/5/2020,10---,10.3---,10.9---,10.8-736--,,,,,
10/6/2020,9.9---,10.2---,10.8---,10.7-732--,,,,,
10/7/2020,10.1---,10.4---,10.9---,10.9-730--,,,,,
10/8/2020,9.9---,10.2---,10.7---,11-730--,,,,,
10/9/2020,9.9---,10.6---,10.6---,11.1-729-0.38-0.14,,,,,
10/10/2020,9.9---,10.1---,10.6---,10.9-728-0.41-0.14,,,,,
10/11/2020,9---,9.7---,9.9---,11.2-734-0.42-0.14,,,,,
10/12/2020,9.7---,9.8---,10.3---,11.4-736-0.41-0.13,,,,,
10/13/2020,9.5---,9.7---,10.1---,11.5-735-0.45-0.14,,,,,
10/14/2020,9.2---,8.6---,9.7---,11-743-0.37-0.14,,,,,
10/15/2020,8.6---,8.4---,9.1---,10.8-744-0.36-0.14,,,,,
10/16/2020,8.1---,9.7---,8.5---,11-739-0.35-0.13,,,,,
10/17/2020,9.4---,9.8---,9.7---,11.4-736-0.34-0.12,,,,,
10/18/2020,9.3---,9.9---,10.1---,11.4-736-0.34-0.13,,,,,
10/19/2020,9.4---,9.9---,10.3---,11.6-737-0.35-0.13,,,,,
10/20/2020,9.5---,9.3---,10.1---,11.8-736-0.35-0.12,,,,,
10/21/2020,8.8---,7---,9.5---,11.8-736-0.35-0.12,,,,,
10/22/2020,6.8---,6.4---,7.4---,11.9-739-0.46-0.12,,,,,
10/23/2020,5.8---,7.8---,6.5---,11.4-734-0.68-0.14,,,,,
10/24/2020,7.4---,4.8---,8---,10.8-734-0.51-0.15,,,,,
10/25/2020,4.8---,4.2---,5.1---,10.7-741-0.65-0.17,,,,,
10/26/2020,3.9---,4.8---,4---,10.8-742-1.1-0.19,,,,,
10/27/2020,6.2---,5.3---,4.1---,10.9-740-0.74-0.16,,,,,
10/28/2020,6.5---,6---,4.6---,10.4-737-0.57-0.16,,,,,
10/29/2020,5.6---,6.4---,5.3---,10.8-735-0.67-0.16,,,,,
10/30/2020,6.1---,6.9---,6---,11-736-0.72-0.16,,,,,
10/31/2020,6.6---,6---,6.5---,11.1-738-0.63-0.15,,,,,
11/1/2020,8.3---,6.2---,5.4---,11-737-0.7-0.16,,,,,
11/2/2020,8.7---,6.5---,5.5---,10.4-735-0.61-0.16,,,,,
11/3/2020,7.5---,8.4---,6.2---,10.4-733-0.53-0.16,,,,,
11/4/2020,6.1---,9.2---,8.1---,10.7-736-0.52-0.15,,,,,
11/5/2020,5---,7.8---,8.8---,10.9-733-0.47-0.14,,,,,
11/6/2020,4.6---,6.6---,7.7---,10.8-726-0.47-0.14,,,,,
11/7/2020,4.5---,5.4---,6.6---,10.6-725-0.51-0.15,,,,,
11/8/2020,4.4---,5---,5.3---,10.6-731-0.5-0.15,,,,,
11/9/2020,4.3---,5.1---,4.9---,10.9-737-0.56-0.15,,,,,
11/10/2020,4.8---,5.5---,5---,10.9-734-0.83-0.16,,,,,
11/11/2020,4.9---,5.2---,5.2---,10.8-735-0.65-0.15,,,,,
11/12/2020,5.4---,5.8---,5---,10.8-732-0.8-0.15,,,,,
11/13/2020,6---,6---,5.4---,10.6-724-0.92-0.13,,,,,
11/14/2020,6.1---,6.4---,5.7---,10.5-733-0.87-0.12,,,,,
11/15/2020,5.9---,6.7---,6.4---,10.2-734-0.86-0.13,,,,,
11/16/2020,5.1---,6.6---,6.6---,10-730-0.85-0.14,,,,,
11/17/2020,4.8---,6.4---,6.6---,9.8-722-0.92-0.13,,,,,
11/18/2020,4.3---,6.1---,6.3---,9.7-727-0.87-0.14,,,,,
11/19/2020,4.3---,5.7---,5.8---,9.6-739-0.81-0.13,,,,,
11/20/2020,5.1---,5---,5.4---,9.5-743-0.88-0.13,,,,,
11/21/2020,5.2---,5---,4.7---,9.4-740-1.07-0.14,,,,,
11/22/2020,4.8---,5.6---,4.7---,9.4-733-1.11-0.14,,,,,
11/23/2020,5---,5.8---,5.3---,9.1-734-0.91-0.13,,,,,
11/24/2020,4.1---,5.4---,5.2---,9.1-734-0.92-0.13,,,,,
11/25/2020,4.1---,5.7---,5---,9-736-0.95-0.13,,,,,
11/26/2020,3.8---,5---,5.2---,8.9-742-0.82-0.13,,,,,
11/27/2020,4---,5---,4.3---,8.9-739-1.3-0.14,,,,,
11/28/2020,4---,4.5---,4.3---,8.8-740-1.44-0.15,,,,,
11/29/2020,3.7---,4.6---,3.9---,8.7-736-1.43-0.16,,,,,
11/30/2020,4---,4.7---,4.3---,8.6-739-1.5-0.15,,,,,
12/1/2020,3.8---,4.1---,4.2---,8.2-742-1-0.13,,,,,
12/2/2020,3.8---,4.4---,3.8---,8.4-736-1.73-0.16,,,,,
12/3/2020,4.7---,4.2---,4---,8.3-739-1.7-0.16,,,,,
12/4/2020,4.2---,4.1---,3.8---,8.1-741-1.58-0.15,,,,,
12/5/2020,4.4---,4.9---,3.7---,7.8-735-1.41-0.15,,,,,
12/6/2020,5---,4.5---,4.6---,7.8-743-1.42-0.15,,,,,
12/7/2020,3.8---,4.6---,4.1---,7.7-741-1.33-0.14,,,,,
12/8/2020,3.8---,5.2---,4.4---,7.5-737-1.3-0.14,,,,,
12/9/2020,3.7---,4.4---,4.9---,7.6-739-1.42-0.15,,,,,
